"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @bitgetglobal: 🙌 We've made it into Round of 16! GET IN! ⚽ Congrats, #Messi and @Argentina! 🎉

💎 To celebrate, we're giving away 10,000…",FALSE,0,NA,2022-12-01 06:19:17,FALSE,NA,"1598200039221866496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BaqeerMuhammad",198,TRUE,FALSE,NA,NA
"RT @kinarration: ootd sage green

messi argentina back to december birth of a queen volkno arab saudi bangtan di maria xh roty on mama de p…",FALSE,0,NA,2022-12-01 06:19:15,FALSE,NA,"1598200034033487872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hypekeranwater",110,TRUE,FALSE,NA,NA
"@z3r0C007 Oh wow that's nuts, a real tight group of death 🤯 thats some nail biting stuff, I feel bad for Mexico goi… https://t.co/XDQxMzsfds",FALSE,0,"z3r0C007",2022-12-01 06:19:15,TRUE,"1598178742635200512","1598200031794073600","856288106705821696","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","squidlips_01",0,FALSE,FALSE,NA,NA
"RT @MadridPreeti: No major media outlet will talk about how Argentina have been gifted the 2 most controversial penalty decisions. Nobody w…",FALSE,0,NA,2022-12-01 06:19:14,FALSE,NA,"1598200027243245568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CR7xtras",58,TRUE,FALSE,NA,NA
"RT @BlancoYMessiii: If you're with Messi today, like this and Retweet 🐐👑
Vamoss Argentina 🇦🇷 https://t.co/g1tGUAO2vY",FALSE,0,NA,2022-12-01 06:19:10,FALSE,NA,"1598200010512162816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hummelsino",747,TRUE,FALSE,NA,NA
"RT @MintzPlasse: Got the squad watching!!! LFG Argentina!! https://t.co/tKhu74d547",FALSE,0,NA,2022-12-01 06:19:10,FALSE,NA,"1598200009639370753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Juan_arata06",6063,TRUE,FALSE,NA,NA
"Argentina just treaded down Poland last night. With MacAllister’s and Álvarez’s goals, Albiceleste will face Austra… https://t.co/aXBmLxgvK7",FALSE,0,NA,2022-12-01 06:19:09,TRUE,NA,"1598200007852756993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OrestHryhorenko",0,FALSE,FALSE,NA,NA
"RT @AlchemyPay: We are excited to celebrate #Argentina🇦🇷 advancement to the knockout stage!🎊

Sneak peek! #AlchemyPay 's new brand ambassad…",FALSE,0,NA,2022-12-01 06:19:09,FALSE,NA,"1598200005801967616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cole_bnb",183,TRUE,FALSE,NA,NA
"Poland vs. Argentina https://t.co/7zz5j0brKq",FALSE,0,NA,2022-12-01 06:19:09,FALSE,NA,"1598200005680152577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amiralia232",0,FALSE,FALSE,NA,NA
"RT @RoyNemer: Lionel Messi has never been eliminated in a group stage, ever. Not for Argentina or at his clubs. 🇦🇷",FALSE,0,NA,2022-12-01 06:19:08,FALSE,NA,"1598200003557609472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_MrGentle",513,TRUE,FALSE,NA,NA
"RT @ESPNFC: Canelo Alvarez has apologised for his comments towards Lionel Messi after Argentina's win against Mexico 🗣 https://t.co/CPB1V0L…",FALSE,0,NA,2022-12-01 06:19:08,FALSE,NA,"1598200001985118209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gaftsoil",3488,TRUE,FALSE,NA,NA
"RT @goal: ARGENTINA ARE THROUGH TO THE KNOCKOUT STAGES 🇦🇷 https://t.co/FFDUJuoiDx",FALSE,0,NA,2022-12-01 06:19:05,FALSE,NA,"1598199992178872320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Perry724699051",3215,TRUE,FALSE,NA,NA
"RT @ErlingRoIe: Julian Alvarez is the truth. Argentina have to start him from now on if they want to win the World Cup, what a finish that…",FALSE,0,NA,2022-12-01 06:19:02,FALSE,NA,"1598199975812681728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aliikhalil10",170,TRUE,FALSE,NA,NA
"RT @MintzPlasse: Got the squad watching!!! LFG Argentina!! https://t.co/tKhu74d547",FALSE,0,NA,2022-12-01 06:19:01,FALSE,NA,"1598199975099633664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CorchoOlivera",6063,TRUE,FALSE,NA,NA
"RT @rakibulhasan_92: After winning the match against Poland.

Barishal, Bangladesh.

#ARGvsPOL #FIFAWorldCupQatar2022 #FIFAWorldCup2022 #Ar…",FALSE,0,NA,2022-12-01 06:18:56,FALSE,NA,"1598199953587056641",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","ShohelIslam",1,TRUE,FALSE,NA,NA
"RT @FabrizioRomano: #Qatar2022 🚨📑⤵️

▫️ Netherlands-USA

▫️ Argentina-Australia 

▫️ France-Poland

▫️ England-Senegal",FALSE,0,NA,2022-12-01 06:18:56,FALSE,NA,"1598199952978907137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rahultotlani",5849,TRUE,FALSE,NA,NA
"RT @433: ARGENTINA WIN THEIR GROUP 🇦🇷🔝 https://t.co/AUgmJbPGhi",FALSE,0,NA,2022-12-01 06:18:56,FALSE,NA,"1598199951846420480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrSteveSureBet2",1367,TRUE,FALSE,NA,NA
"RT @OptaAnalyst: Poland 0-2 Argentina

How on earth was this game only 2-0? 

Argentina's 3.5 xG is the highest they've ever registered in…",FALSE,0,NA,2022-12-01 06:18:56,FALSE,NA,"1598199950781067264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sztandarmlodych",84,TRUE,FALSE,NA,NA
"Everyone talking about messi lewandowski argentina poland mexico but
Tunisia beat France is another world cup upset… https://t.co/5fLGuluk0x",FALSE,0,NA,2022-12-01 06:18:53,TRUE,NA,"1598199941910102016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NM_jiwankar",0,FALSE,FALSE,NA,NA
"Poland vs. Argentina https://t.co/W9PvXY8Q7i",FALSE,0,NA,2022-12-01 06:18:50,FALSE,NA,"1598199927121006595",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amiralia232",0,FALSE,FALSE,NA,NA
"RT @SaaSGoOfficial: ⚽️Today's Hottest Match: 

🇦🇷 #Argentina vs 🇵🇱#Poland 

Argentina take on Poland in their final game of the group stage…",FALSE,0,NA,2022-12-01 06:18:49,FALSE,NA,"1598199924415672321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaminiJames",115,TRUE,FALSE,NA,NA
"RT @RoyNemer: Lionel Messi: ""Diego would be happy. He was always happy about the nice things that happen to the Argentina national team and…",FALSE,0,NA,2022-12-01 06:18:49,FALSE,NA,"1598199923853254657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BaarMask",348,TRUE,FALSE,NA,NA
"RT @IlCagaCazxi: Lautaro Martinez helping Argentina get out the group https://t.co/BiZ48EtaAZ",FALSE,0,NA,2022-12-01 06:18:45,FALSE,NA,"1598199904928763904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OladeleJimoh",3,TRUE,FALSE,NA,NA
